Fecha,Gasto/Ingreso/Ahorro,Categoria,Subcategoria,Descripcion,Monto,,,Banco,Ubicación,Balance,Activos,,Categoria,Valor,,,,
26/1/2026,Ingreso,Ahorro Lulo,Liquidez,Salario," $  2,434,714.12 ",,,Lulo bank,Liquidez," $16,791.16",,,Gastos/TC," $  250,292.00 ",,,,
26/1/2026,Gasto,TC,WoW,Suscripcion," $  63,546.00 ",,,Lulo bank,Bolsillo," $10,210,771.40",,,Total," $  250,292.00 ",,,,
27/1/2026,Ahorro,Ahorro Lulo,Bolsillo,Apartamento," $  1,568,285.88 ",,,Davivienda,Liquidez,,,,,,,,,
27/1/2026,Ingreso,Ahorro Lulo,Liquidez,WoW Amorcito," $  200,000.00 ",,,Davivienda,Bolsillo,,,,,,,,,
27/1/2026,Gasto,TC,WoW,Midnight," $  203,998.98 ",,,Inversion,Lulo Bolsillo,,$249.62,,,,,,,
29/1/2026,Gasto,Deuda,Apartamento,Apartamento," $  959,023.00 ",,,Lulo X,USDC,,$107.98,,,,,,,
29/1/2026,Gasto,TC,Laura,Sexo," $  105,000.00 ",,,Lulo X,Bitcoin,,$0.00,,,,,,,
29/1/2026,Gasto,TC,Laura,Comida," $  60,000.00 ",,,Lulo X,Solana,,$0.77,,,,,,,
30/1/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,Total,," $10,227,562.56",,,,,,,,
31/1/2026,Gasto,Personal,Regalo,Laura," $  52,500.00 ",,,,,,,,,,,,,
31/1/2026,Gasto,TC,Laura,Comida," $  60,800.00 ",,,,,,,,,,,,,
31/1/2026,Gasto,TC,Personal,Yiyos," $  44,700.00 ",,,Totales,Monto,,,,,,,,," $2,043"
31/1/2026,Gasto,TC,Personal,Comida," $  41,700.00 ",,,Total sin ahorro,"- $233,500.84",,,,,,,,,"- $3,010,382"
1/2/2026,Gasto,TC,Personal,Laura," $  82,300.00 ",,,Total Neto," $9,977,270.56",,,,,,,,,"- $3,012,425"
1/2/2026,Gasto,TC,Personal,Comida," $  14,500.00 ",,,,,,,,,,,,,
1/2/2026,Ingreso,Ahorro Lulo,Liquidez,Clases," $  35,100.02 ",,,Gasto, Monto,,,,,,,,," $291,926"
1/2/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  378,556.00 ",,,Apartamento," $900,000",,,,,,,,,"- $3,304,351"
2/2/2026,Gasto,Personal,Comida ,Laura," $  77,250.00 ",,,Spotify," $18,500",,,,,,,,,
2/2/2026,Gasto,Personal,Moto ,Parqueadero ," $  50,000.00 ",,,Tigo," $50,000",,,,,,,,,
2/2/2026,Gasto,Personal,Moto,Tanqueada," $  34,132.00 ",,,Internet," $100,000",,,,,,,,,
2/2/2026,Ahorro,Ahorro Lulo,Bolsillo,Rendimiento," $  8,309.37 ",,,Laura," $1,100,000",,,,,,,,,
2/2/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,TOTAL," $2,168,500",,,,,,,,,
3/2/2026,Gasto,Personal ,Comida,Trabajo," $  16,600.00 ",,,,,,,,,,,,,
3/2/2026,Gasto,Personal,Servicios,Casa," $  67,200.00 ",,,,,,,,,,,,,
3/2/2026,Gasto,Personal,Comida,personal," $  15,868.00 ",,,,,,,,,,,,,
5/2/2026,Gasto,TC,suscripción ,Spotify ," $  18,500.00 ",,,,,,,,,,,,,
5/2/2026,Gasto,Personal,comida,comida," $  14,800.00 ",,,,,,,,,,,,,
5/2/2026,Gasto,TC,Personal ,Seguro TC, $  633.25 ,,,,,,,,,,,,,
6/2/2026,Gasto,Deuda,Pago,TC," $  1,845,638.63 ",,,,,,,,,,,,,
7/2/2026,Gasto,Personal,Personal,Corte de pelo," $  33,000.00 ",,,,,,,,,,,,,
7/2/2026,Gasto,TC,Personal,Comida," $  117,600.00 ",,,,,,,,,,,,,
9/2/2026,Gasto,TC,Laura,IKEA," $  263,890.00 ",,,,,,,,,,,,,
9/2/2026,Gasto,TC,Laura,Helao," $  12,500.00 ",,,,,,,,,,,,,
9/2/2026,Gasto,TC,comida ,hamburguesa ," $  27,900.00 ",,,,,,,,,,,,,
9/2/2026,Gasto,TC,Comida,Laura," $  21,000.00 ",,,,,,,,,,,,,
10/2/2026,Ingreso,Ahorro Lulo,Liquidez,Tercer piso," $  110,000.00 ",,,,,,,,,,,,,
10/2/2026,Gasto,Personal,comida,salida," $  17,000.00 ",,,,,,,,,,,,,
10/2/2026,Gasto,TC,Personal,No idea," $  50,000.00 ",,,,,,,,,,,,,
12/2/2026,Gasto,TC,Laura,Pastas," $  22,500.00 ",,,,,,,,,,,,,
12/2/2026,Ingreso,Ahorro Lulo,Liquidez,Laura," $  67,500.00 ",,,,,,,,,,,,,
12/2/2026,Gasto,TC,Comida,Helao," $  28,100.00 ",,,,,,,,,,,,,
12/2/2026,Gasto,TC,Comida,Rappi," $  69,400.00 ",,,,,,,,,,,,,
13/2/2026,Gasto,TC,Comida,Laura," $  65,300.00 ",,,,,,,,,,,,,
13/2/2026,Gasto,TC,Comida,Helao," $  14,900.00 ",,,,,,,,,,,,,
13/2/2026,Gasto,TC,Comida,Familia," $  50,500.00 ",,,,,,,,,,,,,
14/2/2026,Gasto,TC,Comida,Laura," $  54,650.00 ",,,,,,,,,,,,,
14/2/2026,Gasto,TC,Moto ,Parqueadero ," $  22,500.00 ",,,,,,,,,,,,,
15/2/2026,Gasto,Personal,Comida,Laura," $  69,000.00 ",,,,,,,,,,,,,
15/2/2026,Gasto,Personal,Personal,Laura," $  23,500.00 ",,,,,,,,,,,,,
16/2/2026,Gasto,Personal,Comida,hamburguesa ," $  38,000.00 ",,,,,,,,,,,,,
17/2/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
17/2/2026,Gasto,Personal,Comida,Oblea," $  6,500.00 ",,,,,,,,,,,,,
17/2/2026,Gasto,TC,Personal,Guayos," $  110,000.00 ",,,,,,,,,,,,,
19/2/2026,Gasto,Personal,Comida,Desayuno," $  34,000.00 ",,,,,,,,,,,,,
19/2/2026,Gasto,TC,Comida,Helao," $  35,010.00 ",,,,,,,,,,,,,
19/2/2026,Gasto,TC,Rappi,Pend devolucion, $  987.38 ,,,,,,,,,,,,,
21/2/2026,Gasto,Personal,Comida,Desayuno," $  10,500.00 ",,,,,,,,,,,,,
